"tipoTienda","tieneFolleto","especial","codigoProvincia","codigoTienda","idTienda","posicionX","fechaVigenciaFolleto","posicionY"
0,TRUE,FALSE,15,7710,1001691,"38.704786111","18/01/2023","-8.976308333"
0,TRUE,FALSE,7,7801,1001692,"38.648366667","18/01/2023","-8.216175"
0,TRUE,FALSE,14,7802,1001693,"38.938105556","18/01/2023","-8.869844444"
0,TRUE,FALSE,14,7804,1001695,"39.23596","18/01/2023","-8.68566"
0,TRUE,FALSE,10,7805,1001696,"39.55149","18/01/2023","-8.97537"
0,TRUE,FALSE,10,7807,1001698,"39.35917","18/01/2023","-9.38024"
0,TRUE,FALSE,10,7808,1001699,"39.40608","18/01/2023","-9.13481"
0,TRUE,FALSE,11,7809,1001700,"38.95451","18/01/2023","-8.99146"
0,TRUE,FALSE,11,7811,1001702,"38.87393","18/01/2023","-9.05545"
0,TRUE,FALSE,11,7813,1001704,"38.90351","18/01/2023","-9.04736"
0,TRUE,FALSE,2,7816,1001707,"38.01205","18/01/2023","-7.85849"
0,TRUE,FALSE,15,7820,1001711,"-8.88125","18/01/2023","38.52763"
0,TRUE,FALSE,11,7821,1001712,"39.11092","18/01/2023","-9.35993"
0,TRUE,FALSE,11,7824,1001715,"38.72926","18/01/2023","-9.16254"
0,TRUE,FALSE,11,7825,1001716,"38.70016","18/01/2023","-9.23936"
0,TRUE,FALSE,11,7826,1001717,"38.79689","18/01/2023","-9.16398"
0,TRUE,FALSE,15,7828,1001719,"38.52437","18/01/2023","-8.90502"
0,TRUE,FALSE,11,7833,1001724,"38.807","18/01/2023","-9.18534"
0,TRUE,FALSE,11,7834,1001725,"38.75364","18/01/2023","-9.21021"
0,TRUE,FALSE,15,7835,1001726,"38.63855","18/01/2023","-9.09697"
0,TRUE,FALSE,11,7836,1001727,"38.79306","18/01/2023","-9.10896"
0,TRUE,FALSE,11,7837,1001728,"39.24069","18/01/2023","-9.10381"
0,TRUE,FALSE,8,7839,1001730,"37.15386","18/01/2023","-7.88902"
0,TRUE,FALSE,11,7843,1001734,"38.7907981","18/01/2023","-9.1910075"
0,TRUE,FALSE,11,7854,1001745,"38.80753","18/01/2023","-9.10203"
0,TRUE,FALSE,11,7868,1001758,"38.83984","18/01/2023","-9.1601"
0,TRUE,FALSE,15,7869,1001759,"38.66578","18/01/2023","-9.157871"
0,TRUE,FALSE,2,7872,1001762,"37.51523","18/01/2023","-8.05998"
0,TRUE,FALSE,11,7873,1001763,"38.75539","18/01/2023","-9.176367"
0,TRUE,FALSE,11,7875,1001765,"38.799525","18/01/2023","-9.180249"
0,TRUE,FALSE,10,7876,1001766,"39.732323","18/01/2023","-8.705211"
0,TRUE,FALSE,11,7877,1001767,"38.706036111","18/01/2023","-9.226191667"
0,TRUE,FALSE,11,7879,1001768,"38.747158","18/01/2023","-9.188611"
0,TRUE,FALSE,15,7880,1001769,"38.62986","18/01/2023","-9.15433"
0,TRUE,FALSE,11,7881,1001770,"38.766989","18/01/2023","-9.213711"
0,TRUE,FALSE,11,7883,1001771,"38.696877","18/01/2023","-9.305241"
0,TRUE,FALSE,11,7885,1001772,"38.863868","18/01/2023","-9.072696"
0,TRUE,FALSE,11,7889,1001774,"38.820681","18/01/2023","-9.098441"
0,TRUE,FALSE,8,7890,1001775,"37.139013889","18/01/2023","-8.021344444"
0,TRUE,FALSE,15,7892,1001777,"38.624843","18/01/2023","-9.085148"
0,TRUE,FALSE,11,7894,1001779,"38.761366","18/01/2023","-9.178891"
0,TRUE,FALSE,11,7895,1001780,"38.7783","18/01/2023","-9.095319"
0,TRUE,FALSE,5,7897,1001782,"39.824178","18/01/2023","-7.489618"
0,TRUE,FALSE,11,7899,1001784,"38.7682","18/01/2023","-9.23075"
0,TRUE,FALSE,11,7910,1001794,"39.030146","18/01/2023","-9.36874"
0,TRUE,FALSE,13,8019,1001813,"41.2349","18/01/2023","-8.41887"
0,TRUE,FALSE,18,8030,1001824,"41.10916","18/01/2023","-7.68973"
0,TRUE,FALSE,9,8033,1001827,"40.77459","18/01/2023","-7.06708"
0,TRUE,FALSE,17,8039,1001833,"41.6874","18/01/2023","-7.66727"
0,FALSE,FALSE,18,8048,1001841,"41.10234",NA,"-7.96063"
0,TRUE,FALSE,18,8052,1001845,"40.89872","18/01/2023","-7.48619"
0,TRUE,FALSE,13,8058,1001851,"41.41452","18/01/2023","-8.65053"
0,TRUE,FALSE,1,8066,1001859,"40.76274","18/01/2023","-8.64589"
0,TRUE,FALSE,9,8080,1001873,"40.89655","18/01/2023","-6.9647"
